"filename","type","records_approx","date_range","description","primary_source","notes"
"chernobyl_unit_operations_REAL.csv","nuclear_operations","17_rows","1977-2026","Chernobyl NPP Units 1-3 operating history: Unit 1 (1977-1996 shutdown Nov 30 1996); Unit 2 (1978-1991 shutdown Oct 11 1991 turbine fire); Unit 3 (1981-2000 final shutdown Dec 15 2000); post-accident restarts (Unit 1: Oct 1 1986; Unit 2: Nov 5 1986; Unit 3: Dec 4 1987); ~130-150 TWh post-accident generation; decommissioning status; ISF-1 1261 assemblies pending ISF-2 transfer","WNA; CHNPP; IAEA INSAG-7; EBRD 1996 Memorandum; NEA Chernobyl 2024; IAEA TECDOC-1886","Units 1-3 continued generating electricity for 14 years after the worst nuclear accident in history; final Unit 3 shutdown December 15 2000 was international ceremony; 45 donor nations funded shutdown via EBRD; total post-accident generation ~130-150 TWh serving ~10% of Ukraine demand"
"chernobyl_shelter_sarcophagus_REAL.csv","nuclear_engineering_safety","19_rows","1986-2026","Object Shelter (sarcophagus) construction 1986 (~400000 tonnes concrete; ~250000 workers; >1000 m² openings; 900 m³/day water infiltration); NSC (New Safe Confinement) design-build by Novarka (Vinci+Bouygues); dimensions 108m×162m×257m; €1.5B cost; 45 donors; slid over sarcophagus Nov 29 2016; Feb 14 2025 drone strike 6m breach; €31M repair fund; 100yr design life","IAEA TECDOC-1477; EBRD Shelter Fund; Novarka; NEA 2024; cez_research_2022_2025_REAL.csv","NSC is largest moveable land structure ever built; prevents Shelter collapse releasing radioactive dust; 3 overhead cranes for future remote dismantling; ICRP/EBRD timeline: dismantling of Unit 4 contents 2028-2035; full decommissioning 2064 for lower-contamination structures; Unit 4 core beyond 2064"
"source_term_daily_release_REAL.csv","source_term_physics","15_rows","1986-04-26_to_1986-05-10","Daily/phase release structure of Chernobyl source term: 6 phases (initial explosion; graphite fire declining; minimum May 2; core reheat peak May 6-8; extinguishment May 9; residual); noble gases ~100% released day 1; Cs-137 85 PBq total (UNSCEAR 2008); I-131 1760 PBq; Sr-90 10 PBq; Pu-239/240 0.013 PBq; 5100 tonnes helicopter drop materials; plume height 1000-1500m","UNSCEAR 2008 Annex D Table D5-D6 Figure D-III; OECD-NEA 1996 Table II.3; Devell 1986 Nature; 01_source_term_REAL.csv","Second release peak (May 6-8) rivaled initial explosion for Cs-137 Sr-90 release; core temperature reached ~1650°C; Sr-90 release disproportionately high in phase 4 due to higher volatilization temperature; near-field fuel particles (Pu Sr) vs far-field volatile aerosols (Cs I) creates near/far-field isotopic contrast"
"cez_near_field_deposition_REAL.csv","contamination_zones","17_rows","1986","Near-field (0-100km) deposition data: Pripyat city ~1800-3700 kBq/m²; Red Forest 4000-10000 kBq/m²; Chernobyl city 150-600 kBq/m²; Kopachi village buried; 10km zone average ~800-1400 kBq/m²; 30km zone 100-400 kBq/m² average; NW vs N plume contrast (fuel particles vs volatile aerosols); Sr-90/Cs-137 ratio 10-50x higher near-field vs far-field (fingerprint); Forsmark 1100km 1986-04-28 first detection","IAEA-TECDOC-1247 2001; IAEA Environmental Consequences 2003; contamination_zones_REAL.csv; red_forest_waste_sites_REAL.csv; UNSCEAR 2008","NW plume dominated by ballistic fuel particles (high Sr-90 Pu deposition ratio); N-NE plume dominated by volatile aerosols lofted to 1000-1500m; explains why near-field Sr-90/Cs-137 is 0.1-0.5 vs far-field 0.01-0.05; Chernobyl city (14km south) only 150-600 kBq/m² vs Pripyat (3km west) 1800-3700 kBq/m²"
"black_sea_contamination_REAL.csv","aquatic_environment","15_rows","1986-present","Black Sea Chernobyl contamination: area 422000 km²; permanent chemocline 100-150m (confines radionuclides to surface layer); direct fallout ~130-200 TBq Cs-137; river input ~160 TBq Sr-90 (Dnieper+Danube; from dnieper file); current Cs-137=56 Bq/m³; current Sr-90=32 Bq/m³; fish <100 Bq/kg; Bosphorus export 2-5 TBq/yr initially; sediment Cs-137 50-200 Bq/kg shelf","UNSCEAR 2008; Mirzoyeva 2013 PMID:23522557; Povinec 2004 Sci Mar; Buesseler 1987 Nature; dnieper_river_contamination_REAL.csv","Black Sea permanent stratification = radionuclides confined to upper 100m unlike open oceans; Am-241 growing in Black Sea sediments (Pu-241 ingrowth); marine fish Cs-137 below EU limits throughout post-accident period (no fisheries closure required); Danube contributed ~60 TBq Sr-90 from Central European Chernobyl fallout"
"xenon_135_poisoning_REAL.csv","nuclear_physics_reference","14_rows","1986-04-25_to_04-26","Xe-135 nuclear physics: thermal absorption cross-section 2.65×10⁶ barns; t1/2=9.14hr; I-135 precursor t1/2=6.57hr; Xe-135 as primary fission product poison; xenon pit dynamics; Unit 4 power history April 25-26 (power fell to 30 MWt at 00:28 due to xenon poisoning); ORM fell to 8 rods; decision to continue test; Sm-149 secondary poison context","NNDC; ENDF/B-VIII.0; Lamarsh; INSAG-7; chernobyl_accident_chronology_REAL.csv; reactor_physics_REAL.csv","Xe-135 cross-section 2.65×10⁶ barns = 4500x more absorbing per atom than U-235 fission; xenon pit at 00:28 forced extreme rod withdrawal (ORM=8 vs required 15); this was the precondition for the accident not the direct cause; direct cause = graphite tip positive reactivity spike when AZ-5 SCRAM pressed at 01:23:40"
"contested_radiation_science_REAL.csv","methodology_reference","10_rows","1986-present","Scientific debates in Chernobyl/radiation health: LNT vs threshold vs hormesis; UNSCEAR 6600 vs IARC 25000 cancer deaths projection; solid tumor excess in liquidators (not established below 200 mGy); thyroid cancer overdiagnosis post-2005; CVD radiation causation vs confounding; Rukhadze alternative accident cause (arXiv preprint, non-consensus); Moller/Mousseau vs Deryabina on CEZ wildlife; birth defects (not confirmed); Soviet data suppression documented facts","INSAG-7; UNSCEAR 2008; ICRP 103 2007; Cardis 2006 BMJ; Worgul 2007; Deryabina 2015; Moller/Mousseau 2007","Documents contested science for user's goal of examining scientific disputes; Rukhadze preprint (nucl-ex/0304024) not peer-reviewed and not mainstream; UNSCEAR vs IARC difference is methodology not data; Moller/Mousseau methodology disputed by multiple independent groups; LNT retained as precautionary but not validated at <100 mGy"
"fission_product_yields_REAL.csv","nuclear_physics_reference","16_rows","1986_reference_nuclear_data","Fission product yield data from ENDF/B-VIII.0: Sr-90 5.82%; Cs-137 6.19%; I-131 2.89%; Ba-140 6.35%; Zr-95 6.49%; Xe-133 6.78%; Kr-85 0.29%; Ru-106 0.40%; Ce-144 5.48%; Te-132 4.28%; bimodal distribution physics (magic neutron numbers N=50 and N=82); Pu-239 and Am-241 as activation products not fission products; Cs-134 from neutron capture on Cs-133 (activation, not fission)","ENDF/B-VIII.0 NNDC; England Rider 1994 LANL; JEFF-3.3; Strutinsky 1967 Nucl Phys A","Bimodal yield distribution: light peak A~95 (Zr-95 Sr-90) and heavy peak A~137 (Cs-137 I-131 Xe-133); minimum at A~120; explains why Cs-137 and Sr-90 dominant long-lived fission products from Chernobyl; Cs-134/Cs-137=0.57 ratio from burnup calculation (Cs-134 is ACTIVATION not fission product)"
"international_response_1986_REAL.csv","accident_history","18_rows","1986-04-26_to_2000-12-15","Timeline of international response: accident 01:23 Apr 26; Forsmark Sweden detection Apr 28 09:00 (62hr later); TASS announcement Apr 28 21:00 (66hr later); Poland KI 18M doses Apr 28-29; IAEA notified Apr 29 (3 days); Kyiv May Day parade proceeded normally May 1; EEC emergency food limits Regulation 1707/86; UK sheep restrictions (some not lifted until 2012); IAEA Early Notification Convention adopted Sep 26 1986; Legasov Vienna Aug 1986; INSAG-7 1992; Unit 3 final shutdown Dec 15 2000","TASS Apr 28 1986; Devell 1986 Nature; IAEA INSAG-1/7; EEC Regulation 1707/86; UK MAFF; Poland KI data","Soviet 66-hour delay to international notification directly drove creation of IAEA Early Notification Convention Sep 26 1986; Poland was only country to distribute KI promptly (18M doses); contrast USSR where KI not distributed; UK sheep restrictions lasted 26 years due to acid soil Cs-137 persistence"
"radiation_biology_mechanisms_REAL.csv","nuclear_physics_reference","14_rows","mechanistic_reference","Radiation biology: 40 DSBs/Gy/cell; 1000 SSBs/Gy; 2000 base damages/Gy; water radiolysis OH• radical mechanism; NHEJ vs HR repair pathways; RET/PTC gene rearrangement = Chernobyl thyroid cancer molecular signature; bystander effect; genomic instability; LET and RBE (alpha=20 vs gamma=1); cell cycle radiosensitivity (G2/M most sensitive); adaptive response debate; γH2AX DSB biomarker; telomere shortening in liquidators","BEIR VII 2006; Lieber 2010 PMID:20192759; Nikiforov 2003 PMID:14598823; Rothkamm 2003 PMID:12608579; ICRP 103; Ward 1988","RET/PTC chromosomal rearrangement specifically caused by DSBs in thyroid cells from I-131 beta dose; explains molecular mechanism from I-131 dose to papillary thyroid cancer; alpha RBE=20 explains why Pu hot particles more dangerous per Gray than Cs-137 gamma; γH2AX foci detectable at doses as low as 1-10 mGy"
"baltic_sea_contamination_REAL.csv","aquatic_environment","14_rows","1986-present","Baltic Sea contamination: area 415000 km²; direct fallout 400-1000 TBq Cs-137 on sea surface; herring 100-500 Bq/kg peak 1987 → 5-30 Bq/kg current (below 600 Bq/kg EU limit); 14000 Swedish freshwater lakes elevated; Norwegian/Finnish reindeer up to 100000 Bq/kg (via lichen-Cs-137 pathway Fv=10-100); Baltic water residence time 25-35yr; current Cs-137=20-50 Bq/m³; Sr-90=5-15 Bq/m³; Bosphorus/Kattegat export","HELCOM 1990/2022; Devell 1986 Nature; Johanson 1994; Smith JT 1999 doi:10.1016/S0265-931X(98)00038-0; Strand 2002 PMID:12148494","Baltic more contaminated than Black Sea from direct fallout (closer to main plume paths); limited water exchange (25-35yr residence) slows cleanup; reindeer/lichen pathway = highest non-CEZ Cs-137 in terrestrial animals; Swedish freshwater fish still exceed limits in some lakes 40yr later"
"iodine_atmospheric_chemistry_REAL.csv","nuclear_physics_reference","14_rows","1986_reference","I-131 chemical speciation in atmosphere: I2 (30-50%; Vd=10-50 mm/s; 90% respiratory uptake); CH3I organic iodide (20-70% increasing with distance; Vd=0.01-0.1 mm/s; 20% uptake); particle-associated (15-30%; Vd=1-5 mm/s); cow milk Fm=0.004 d/L; sheep milk Fm=0.29 d/L (70x); iodine deficiency amplifies thyroid dose 1.5-3x; KI mechanism; I-131 t1/2=8.02d → zero by October 1986; 400000 Soviet thyroid measurements mostly unreliable","Chamberlain 1984 doi:10.1016/0004-6981(84)90256-9; Whitton 1993 NRPB; IAEA 2006; dose_conversion_factors_REAL.csv","Organic iodide fraction increases with distance (I2→CH3I conversion); far-field populations received lower thyroid dose per unit Bq/m³ than near-field; iodine deficiency in 1986 Soviet population amplified actual thyroid doses vs ICRP standard model predictions; explains higher-than-predicted thyroid cancer rates"
"chernobyl_environmental_remediation_REAL.csv","decontamination_response","13_rows","1986-present","Remediation actions: 5100t helicopter drops May 1986; rooftop decontamination by human biorobots (3700 workers; robots all failed); 2.5M m³ soil removal to 800+ burial sites; Kyiv water sand filters; flood control berm around cooling pond; K-fertilizer and liming (33-50% Cs reduction; 30-50% Sr reduction); Prussian Blue cesium boli for cattle (70-90% milk reduction); Red Forest burial (FAILED → groundwater Sr-90 contamination); phytoremediation research; Rossokha vehicle graveyard","INSAG-7; OECD-NEA 1996; red_forest_waste_sites_REAL.csv; decontamination_countermeasures_REAL.csv; Dushenkov 1997 PMID:21654075","Red Forest tree burial in unlined trenches was counterproductive - concentrated fuel particles creating groundwater Sr-90 source; robot decontamination of Unit 3 roof completely failed; Prussian Blue boli are most cost-effective countermeasure (near-zero cost; 70-90% reduction); phytoremediation proven effective for contaminated water but not cost-effective for soil"
"rbmk_void_coefficient_physics_REAL.csv","nuclear_physics_reference","14_rows","1986_reference_RBMK_physics","RBMK positive void coefficient: +4 to +8 pcm/%void (pre-mod); reduced to +0.5-2 post-mod; why graphite moderator creates positive αv (water = parasitic absorber not primary moderator); LWR comparison (strongly negative -20 to -100); CANDU comparison (slightly positive); Doppler -2 to -4 pcm/°C; net power coefficient positive at <700 MWt (forbidden zone); graphite tip +2-3β on AZ-5 SCRAM; total reactivity +7-10β at accident; β_eff(U-235)=0.0065 vs β_eff(Pu-239)=0.0021","INSAG-7; Glasstone Sesonske; Lamarsh; OECD-NEA Ch.I; rbmk_void_coefficient_physics_REAL.csv","Positive void coefficient at low power + graphite tip effect + ORM=8 = prompt criticality +7-10β when AZ-5 pressed; post-modification RBMK (11 operating Russia 2026) has void coefficient 4-10x smaller and cannot reach prompt criticality from void alone; SCRAM time reduced 18→12s but still slow vs LWR <2s"
"nuclear_accident_history_comparison_REAL.csv","nuclear_operations","10_rows","1957-2017","Major nuclear accidents: SL-1 (1961 INES-4; 3 deaths; rod ejection); Windscale (1957 INES-5; graphite fire; 740 TBq I-131; ~200-240 excess UK cancers); Kyshtym Mayak (1957 INES-6; 74 PBq total; ~10000-270000 evacuated; second worst pre-Chernobyl); TMI (1979 INES-5; ~0 Cs-137 released; containment held); Chernobyl (1986 INES-7; 85 PBq Cs-137); Goiania (1987 INES-5; 50 GBq Cs-137 source; 4 deaths); Tokaimura (1999 INES-4; criticality; 2 deaths); Fukushima (2011 INES-7; 15-20 PBq Cs-137); Mayak Ru-106 (2017; 250 TBq)","INSAG-7; Medvedev 1979; NRC TMI; IAEA Goiania; NEA INES","Only 2 INES-7 events: Chernobyl and Fukushima; TMI showed PWR negative void coefficient prevents external release even during partial melt; Kyshtym at INES-6 = only INES-6 event ever; Tokaimura criticality in processing facility = worst ARS case (Ouchi 16-20 Gy); INES scale created in 1990 post-Chernobyl"
"natural_background_radiation_REAL.csv","nuclear_physics_reference","13_rows","perennial_reference","Natural background: global average 2.4 mSv/yr; radon 1.26 mSv/yr (52%); cosmic 0.39; terrestrial gamma 0.48; internal (K-40 4400 Bq in body) 0.29; high backgrounds: Ramsar Iran 260 mSv/yr; Guarapari Brazil 50-100 mSv/yr; airline crew 3-6 mSv/yr; medical imaging global avg 0.6 mSv/yr; average European Chernobyl lifetime dose 1-2 mSv ≈ 0.5-1yr extra background; liquidator 117 mSv = 49yr global average","UNSCEAR 2000/2008 Annex B; EPA Radon; ICRP 132 cosmic; WHO Indoor Radon 2009","Liquidator average dose (117 mSv) = less than Denver Colorado resident receives in ~15yr from elevated natural background; Chernobyl public doses outside FSU (~1-2 mSv lifetime) = 0.5-1yr extra natural background; K-40 body burden (4400 Bq) is 20x larger activity than Cs-137 body burden in typical Ukrainian resident today"
"reactor_types_physics_comparison_REAL.csv","nuclear_physics_reference","8_rows","reference","Reactor physics comparison: RBMK (graphite+H2O; positive void +4-8 pcm; no containment; 18-20s SCRAM); PWR (H2O moderator; negative void -20-100 pcm; <2s SCRAM; worldwide most common); BWR (boiling H2O; slightly negative void; Fukushima design); VVER Soviet PWR (negative void; fundamentally safer than RBMK); CANDU (heavy water; slightly positive void; dual SCRAM systems); Gen-IV sodium fast (negative void; passive shutdown); MSR (passive drain freeze plug); modified RBMK current (void +0.5-2; 12s SCRAM; 11 units operating Russia 2026)","INSAG-7; WNA profiles; Glasstone Sesonske; IAEA PRIS; rbmk_safety_modifications_REAL.csv","RBMK vs PWR: positive vs negative void coefficient is the fundamental physics difference; water as primary moderator (PWR/BWR) makes void removal = moderator removal = self-limiting; graphite moderator (RBMK/CANDU) decouples moderation from coolant = positive void possible; USSR had BOTH safer VVER and dangerous RBMK running simultaneously in 1986"
"gamma_ray_interaction_physics_REAL.csv","nuclear_physics_reference","14_rows","reference_quantum_physics","Gamma interaction physics: photoelectric (<100 keV tissue; <500 keV lead); Compton (100 keV-5 MeV; Klein-Nishina); pair production (>1.022 MeV threshold); Cs-137/Ba-137m 661.7 keV (85.1%; Compton dominant); Cs-134 604.7+795.9 keV; I-131 364.5 keV; Am-241 59.5 keV; Co-60 1173+1332 keV; HVL(Pb at 662 keV)=7 mm; HVL(tissue)=9 cm; NaI resolution 7-8% vs HPGe 0.1-0.3% at 662 keV; Compton edge Cs-137 at 477.3 keV","NIST XCOM; Attix 1986; Klein Nishina 1929; Knoll 2010; NNDC NuDat 3","All 662 keV gammas from Chernobyl contamination originate from Ba-137m DAUGHTER not Cs-137 itself; Cs-134 presence in 1986 detections confirmed Chernobyl origin (ratio 0.57); Am-241 59.5 keV highly attenuated by soil (photoelectric); 7mm Pb halves Cs-137 gamma; HPGe resolves Cs-134 vs Cs-137 peaks (58 keV apart)"
"beta_alpha_radiation_physics_REAL.csv","nuclear_physics_reference","13_rows","reference_quantum_physics","Beta and alpha physics: Sr-90 E_max=546 keV (pure beta; no gamma); Y-90 daughter E_max=2279 keV (Cherenkov threshold exceeded); Cs-137 beta E_max=514 keV; I-131 beta E_max=606 keV; Pu-239 alpha 5150 keV (range 37 µm tissue); Am-241 alpha 5486 keV; alpha RBE=20; bremsstrahlung from high-E beta in high-Z material; beta skin dead layer 70 µm stops alpha; Fermi coupling constant G_F=1.166e-5 GeV-2; Sr-90 bone-seeker Ca-analog; internal conversion Ba-137m","NNDC; Attix 1986; ICRP 67; Knoll 2010; Fermi 1934; NIST ESTAR; dose_conversion_factors_REAL.csv","Sr-90 pure beta = invisible to standard Geiger counters explains 1986 monitoring failures; Y-90 daughter Cherenkov enables sensitive Sr-90 detection in water; alpha from hot particles deposits all energy in 37 µm (< skin dead layer externally = safe; internally = very concentrated dose); use low-Z shielding first for beta emitters to prevent bremsstrahlung"
"zaporizhzhia_npp_2022_2025_REAL.csv","nuclear_operations","12_rows","2022-03-04_to_2025","Zaporizhzhia NPP (ZNPP): 6×VVER-1000 at Enerhodar (6000 MWe; Europe's largest NPP); Russian military occupation March 4 2022 (first nuclear plant seized in active combat); all 7 IAEA safety principles violated per IAEA Nov 2022 report; external power repeatedly cut (operated on single 750 kV line ≥5 times); all 6 units cold shutdown by September 11 2022; 2000+ spent fuel assemblies requiring continuous cooling; multiple confirmed shelling incidents near reactors; Kakhovka dam breach June 2023 (no threat to ZNPP cooling); IAEA on-site monitoring team continuously from Sep 2022; VVER negative void coefficient = Chernobyl-type prompt criticality physically impossible; primary war risk = spent fuel cooling failure (Fukushima scenario not Chernobyl)","IAEA Update NE/ZNPP/2022-2025 series; IAEA DG Grossi statements; Energoatom; NEA NE/CRPPH/R(2024)3; WNA Ukraine","Unprecedented: all 7 IAEA safety principles simultaneously violated at operating nuclear plant; VVER-1000 vs RBMK: negative void coefficient = fundamentally safer reactor physics; war risk is cooling-failure/spent-fuel-pool scenario analogous to Fukushima not Chernobyl; IAEA maintains continuous 2-3 person monitoring rotation on-site; site still under Russian military control as of early 2025"
"atmospheric_dispersion_parameters_REAL.csv","nuclear_physics_reference","14_rows","1986_plume_modeling","Atmospheric dispersion: Gaussian plume equation parameters; Pasquill-Gifford stability classes A-F (sigma_y/sigma_z Briggs formulae); effective release height Chernobyl 1000-1500m; dry deposition velocities (I2=10-50 mm/s; CH3I=0.01-0.1 mm/s; Cs-137 aerosol=1-3 mm/s); wet deposition washout coefficient Λ; HYSPLIT and SNAP-II model parameters for Chernobyl reconstruction; chi/Q near-field factor; April 27 plume trajectory to Forsmark; Monin-Obukhov length stability parameterization","Pasquill 1961; Gifford 1961 Nucl Saf; Briggs 1973; Draxler 1998 ARL-224; Stohl 2012 ACP doi:10.5194/acp-12-2313-2012; Fischer 1987 J Environ Radioact; IAEA-TECDOC-955","Gaussian model used for near-field; Lagrangian (HYSPLIT/NAME) for medium-range; Eulerian for long-range; nighttime stable Class E-F at 01:23 accident → concentrated near-field plume; high effective height (1000-1500m) → transported 85 PBq Cs-137 across Europe; single thunderstorm May 8 deposited ~99% of some Scandinavian contamination"
"ukraine_nuclear_fleet_REAL.csv","nuclear_operations","14_rows","1977-2025","Ukraine nuclear fleet: 15 operating VVER reactors at 4 sites (13,800 MWe); Rivne 4 units (2×VVER-440 + 2×VVER-1000); Khmelnytsky 2 units (VVER-1000; Units 3-4 under construction); South Ukraine 3 units (VVER-1000); ZNPP 6 units occupied 2022; pre-war nuclear share ~55-60% of Ukraine electricity; Westinghouse fuel completed transition 2022-2023 (independence from Russian TVEL); Budapest Memorandum 1994 context; Energoatom operator; SNRIU regulator; ISF-2 dry cask storage (Holtec); post-war 60yr license extension plans","IAEA PRIS 2025; Energoatom annual reports; WNA Ukraine 2025; NEA 2024; SNRIU; Westinghouse; IEA Ukraine 2022","Ukraine = second largest nuclear generator in Europe by capacity (after France); ZNPP occupation removed ~43% of installed nuclear capacity; Westinghouse fuel switch = energy security from Russia achieved; Budapest Memorandum Russia violation = largest compliance failure in nuclear non-proliferation framework"
"nuclear_safety_culture_REAL.csv","nuclear_operations","12_rows","1979-2025","Nuclear safety culture: INSAG-7 dual root cause (design flaw + safety culture deficiency); Legasov memoirs (posthumous 1988) document systemic Soviet failures; GAN regulatory capture; WANO establishment 1989 (direct Chernobyl response); IAEA Defense in Depth 5 barriers (all violated at Chernobyl); Pripyat 36-hour evacuation delay; Dyatlov trial; operators not informed of positive void coefficient; 4th attempt at turbine test with non-nuclear procedure authors; TMI 1979 parallel lessons; post-Chernobyl IAEA Convention on Nuclear Safety 1994; questioning attitude indicator","INSAG-7 1992; Legasov memoirs 1988; IAEA INSAG-4 1991; IAEA CNS 1994; WANO 1989; Kemeny Commission 1979; Plokhy 2018 Chernobyl","Chernobyl root cause dual: reactor design (positive void + graphite tip) AND safety culture (operator pressure; regulatory capture; test not reviewed by reactor designer); post-1986 nuclear safety culture transformation in West = WANO peer reviews + NRC strengthened requirements; former Soviet states required IAEA IRRS missions for full reform"
"chernobyl_first_responders_medical_REAL.csv","health_outcomes","14_rows","1986-04-26_to_present","Chernobyl first responders medical data: 134 confirmed ARS cases; 28 deaths first 3 months; Hospital No. 6 Moscow (Dr. Guskova chief); lymphocyte count biological dosimetry; BMT failures (13 attempted; only 2 engrafted; all eventually died); beta burns skin pathology; ARS symptoms timeline (nausea <1hr → >4 Gy); categories (firefighters/plant operators/emergency workers); Akimov/Toptunov/Pravik individual cases; KI not distributed to Pripyat; Medchast No. 126 initial triage; long-term survival degree I-II survivors","Guskova Baranov 1988 J Radiol Prot PMID:3184487; Baranov 1989 BMT 4:69; Gale Butturini 1992; UNSCEAR 2008; Mould 2000 Chernobyl Record; Read 1993 Ablaze; Plokhy 2018","BMT failure rate 11/13 = key medical lesson: BMT contraindicated for mixed whole-body + localized high-dose exposure with burns; Chernobyl established modern mass-casualty radiation treatment protocols; KI non-distribution most preventable health policy failure; Dr. Guskova's lymphocyte-based triage protocol still used in REAC/TS nuclear accident response worldwide"
"rbmk_core_neutron_physics_REAL.csv","nuclear_physics_reference","12_rows","1986_reference_reactor_physics","RBMK neutron physics: 1661 pressure tubes; 1700t graphite moderator; thermal cross sections (Xe-135=2.65×10⁶ b; U-235=585 b; B-10=3840 b); four-factor formula k_eff; delayed neutron data β_eff U-235=0.0065 (6 groups; mean 13s); prompt neutron generation time Λ=1-2 ms (graphite); control rod worth 15-20% Δk/k; ORM=8 was direct precondition; Doppler broadening -2 to -4 pcm/°C; excursion timing (01:23:40→01:23:44); 300 GJ energy release estimate; neutron moderation comparison H2O vs graphite; criticality dollar units (+7-10β prompt supercritical)","Keepin 1965 Physics of Nuclear Kinetics; Lamarsh 1966; NNDC BNL-325; ENDF/B-VIII.0; INSAG-7; Steinberg 2009 Nucl Eng Des doi:10.1016/j.nucengdes.2009.01.020","Neutron generation time Λ=1-2ms (graphite RBMK) vs 50-100µs (LWR) — RBMK actually slower kinetics; BUT once prompt critical (+7β) mechanical SCRAM (18-20s) irrelevant regardless; Doppler coefficient (-2-4 pcm/°C) present but overwhelmed by positive void (+4-8 pcm/%void) + graphite tip (+2-3β); 4-factor formula explains why positive void intrinsic to RBMK graphite-water design"
"soviet_civil_defense_response_REAL.csv","accident_history","12_rows","1986-04-26_to_11","Soviet civil defense/emergency response: Pripyat 36hr evacuation delay; 30km zone 116,000 evacuated by May 2; DP-5 instruments saturating at 200 R/hr (actual field: 100-1000 R/hr); 600,000 liquidators 1986-1990; helicopter operations 5100t dropped; 10,000 miners tunnel excavation; dosimetry falsification (confiscated/capped); Legasov Vienna presentation Aug 25-29 1986; Shcherbina government commission; Gorbachev televised address May 14 1986; no milk ban first 10 days; shelter-in-place thresholds; Operation Shelter sarcophagus construction","INSAG-7; Plokhy 2018 Chernobyl; Mould 2000 Chernobyl Record; Read 1993 Ablaze; Shcherbak 1989; Marples 1988; UNSCEAR 2008; Gorbachev memoirs 2006","DP-5 instrument saturation at 200 R/hr = direct cause of authorities believing false 3.6 R/hr maximum; delayed evacuation; dosimetry falsification documented in multiple sources = most important data quality issue in all Chernobyl health literature; Gorbachev later stated Chernobyl more important to Soviet collapse than Glasnost itself"
"rbmk_core_neutron_physics_REAL.csv","nuclear_physics_reference","12_rows","1986_reactor_design","RBMK neutron physics: 1661 pressure tubes; 1700t graphite moderator; thermal cross sections (Xe-135=2.65×10⁶ b; U-235=585 b; B-10=3840 b); four-factor formula k_inf=η×ε×p×f; delayed neutron data β_eff U-235=0.0065 (6 groups; mean 13s); Λ=1-2ms (graphite); control rod total worth 15-20% Δk/k; ORM=8 direct precondition; Doppler -2-4 pcm/°C; excursion timing (AZ-5 01:23:40 to explosion 01:23:44); 300 GJ energy release; neutron moderation physics (H2O vs graphite); criticality in dollar units (+7-10β)","Keepin 1965 Physics of Nuclear Kinetics; Lamarsh 1966; NNDC BNL-325; INSAG-7; Steinberg 2009 Nucl Eng Des doi:10.1016/j.nucengdes.2009.01.020; reactor_physics_REAL.csv","Four-factor formula explains positive void intrinsically: removing H2O increases p (resonance escape) and f (thermal utilization) in RBMK → net k_eff increase; graphite moderator decouples slowing-down from neutron absorption; Λ=1-2ms (10-40x slower than LWR) irrelevant once prompt critical (+7β); Doppler present but overwhelmed by graphite tip +2-3β + void effect"
"chernobyl_decommissioning_physics_REAL.csv","nuclear_operations","10_rows","2000-2064","Chernobyl decommissioning: target 2064 (78yr timeline); Units 1-3 in conversion-to-safe-condition; 200,000+ m³ radioactive waste; ISF-2 Holtec 21,217 assembly capacity (1698 stored Jan 2022); activated graphite 4000t/unit (C-14 t1/2=5730yr; unresolved disposal); NSC technical specs (36,000t; 108m×162m×257m; 100yr design life; Feb 2025 drone damage); corium no current removal plan; decay heat curve (7% at t=0 → 0.09% at 1yr); CEZ Pu-239 permanent on human timescale","Energoatom; Holtec 2020; IAEA TECDOC-1521; NEA 2024; EBRD; chernobyl_shelter_sarcophagus_REAL.csv; corium_fcm_physics_REAL.csv; am241_ingrowth_timeseries_REAL.csv","Corium = most challenging decommissioning problem in nuclear history; no technology for safe removal; likely left in situ under NSC for centuries; activated graphite C-14 (t1/2=5730yr) = long-term repository challenge; Am-241/Pu-239 in hot spots = limiting contaminants beyond 2100; decommissioning occurring during active war (2022-2025) adds unique operational complexity"
"nuclear_fuel_cycle_burnup_REAL.csv","nuclear_physics_reference","11_rows","1986_fuel_physics","Nuclear fuel cycle and burnup: burnup definition (MWd/tHM); Pu-239 production ~0.6g/MWd (U-238(n,γ) chain); Pu buildup series (239→240→241→Am-241); U-235 depletion 1.05g/MWd; Cs-134 activation mechanism (Cs-133+n; NOT fission product; ratio 0.57 fingerprint); ORIGEN burnup code; ANS-5.1 decay heat curve (7% at shutdown → 0.09% at 1yr); spent fuel radioactivity timescale (10¹⁶ Bq/tHM fresh → 10⁸ Bq/tHM at 10,000yr); fissile inventory Unit 4 (U-235 ~1800kg; Pu-239 ~120-180kg); Cs-137 inventory calculation (~260 PBq total; 85 PBq released)","Lamarsh 1966; IAEA TECDOC-1243; England Rider 1994 LANL; ANS-5.1 1979; Croff 1983 Nucl Technol; NNDC; 01_source_term_REAL.csv; rbmk_fuel_specifications_REAL.csv; fission_product_yields_REAL.csv","U-235 depletion rate derivation: 1 fission=200MeV; 1 MWd=8.64×10¹⁰ J → 2.7×10²¹ fissions/MWd × 3.9×10⁻²² g/fission = 1.05 g U-235/MWd; Cs-137 inventory verified: 260 PBq calculated from burnup matches UNSCEAR 260 PBq; Cs-134/Cs-137=0.57 ratio unique forensic fingerprint of Chernobyl (vs weapons fallout which has no Cs-134)"
